"bin_extents","bin_values"
2.2603e-05,12
5.2899e-05,76
8.3196e-05,198
0.00011349,353
0.00014379,349
0.00017409,321
0.00020438,242
0.00023468,255
0.00026498,259
0.00029527,244
0.00032557,269
0.00035587,273
0.00038616,289
0.00041646,302
0.00044676,275
0.00047705,283
0.00050735,268
0.00053765,303
0.00056794,263
0.00059824,275
0.00062854,264
0.00065883,220
0.00068913,234
0.00071943,257
0.00074972,205
0.00078002,204
0.00081032,183
0.00084061,202
0.00087091,173
0.00090121,182
0.0009315,171
0.0009618,172
0.0009921,162
0.0010224,143
0.0010527,151
0.001083,131
0.0011133,112
0.0011436,103
0.0011739,91
0.0012042,95
0.0012345,96
0.0012648,102
0.0012951,66
0.0013254,67
0.0013557,62
0.001386,54
0.0014162,60
0.0014465,37
0.0014768,29
0.0015071,41
0.0015374,42
0.0015677,35
0.001598,32
0.0016283,23
0.0016586,28
0.0016889,28
0.0017192,29
0.0017495,23
0.0017798,28
0.0018101,27
0.0018404,21
0.0018707,23
0.001901,32
0.0019313,23
0.0019616,17
0.0019919,23
0.0020222,21
0.0020525,19
0.0020828,21
0.0021131,10
0.0021434,13
0.0021737,17
0.002204,16
0.0022343,15
0.0022646,15
0.0022949,9
0.0023251,10
0.0023554,11
0.0023857,11
0.002416,11
0.0024463,14
0.0024766,10
0.0025069,6
0.0025372,10
0.0025675,8
0.0025978,5
0.0026281,4
0.0026584,6
0.0026887,4
0.002719,2
0.0027493,7
0.0027796,4
0.0028099,6
0.0028402,5
0.0028705,4
0.0029008,2
0.0029311,4
0.0029614,1
0.0029917,1
0.003022,7
0.0030523,3
0.0030826,4
0.0031129,5
0.0031432,6
0.0031735,3
0.0032038,1
0.003234,4
0.0032643,1
0.0032946,6
0.0033249,5
0.0033552,0
0.0033855,2
0.0034158,6
0.0034461,2
0.0034764,4
0.0035067,2
0.003537,0
0.0035673,2
0.0035976,0
0.0036279,1
0.0036582,1
0.0036885,0
0.0037188,1
0.0037491,1
0.0037794,1
0.0038097,2
0.00384,0
0.0038703,0
0.0039006,1
0.0039309,0
0.0039612,0
0.0039915,3
0.0040218,1
0.0040521,2
0.0040824,1
0.0041126,0
0.0041429,1
0.0041732,1
0.0042035,0
0.0042338,0
0.0042641,0
0.0042944,0
0.0043247,0
0.004355,1
0.0043853,0
0.0044156,0
0.0044459,0
0.0044762,0
0.0045065,0
0.0045368,0
0.0045671,0
0.0045974,0
0.0046277,0
0.004658,1
0.0046883,0
0.0047186,0
0.0047489,0
0.0047792,0
0.0048095,0
0.0048398,0
0.0048701,0
0.0049004,0
0.0049307,0
0.004961,0
0.0049913,0
0.0050215,1
0.0050518,0
0.0050821,0
0.0051124,1
0.0051427,0
0.005173,0
0.0052033,1
0.0052336,0
0.0052639,0
0.0052942,0
0.0053245,0
0.0053548,0
0.0053851,0
0.0054154,0
0.0054457,0
0.005476,0
0.0055063,0
0.0055366,0
0.0055669,0
0.0055972,0
0.0056275,0
0.0056578,0
0.0056881,0
0.0057184,0
0.0057487,0
0.005779,0
0.0058093,0
0.0058396,0
0.0058699,0
0.0059002,0
0.0059304,0
0.0059607,0
0.005991,0
0.0060213,0
0.0060516,0
0.0060819,0
0.0061122,0
0.0061425,0
0.0061728,0
0.0062031,0
0.0062334,0
0.0062637,0
0.006294,0
0.0063243,0
0.0063546,0
0.0063849,0
0.0064152,0
0.0064455,0
0.0064758,0
0.0065061,0
0.0065364,0
0.0065667,0
0.006597,0
0.0066273,0
0.0066576,0
0.0066879,0
0.0067182,0
0.0067485,0
0.0067788,0
0.0068091,0
0.0068393,0
0.0068696,0
0.0068999,0
0.0069302,0
0.0069605,0
0.0069908,0
0.0070211,0
0.0070514,0
0.0070817,0
0.007112,0
0.0071423,0
0.0071726,0
0.0072029,0
0.0072332,0
0.0072635,0
0.0072938,0
0.0073241,0
0.0073544,0
0.0073847,0
0.007415,0
0.0074453,0
0.0074756,0
0.0075059,0
0.0075362,0
0.0075665,0
0.0075968,0
0.0076271,0
0.0076574,0
0.0076877,0
0.007718,0
0.0077482,1
